11. FIBD  Mortal Fibonacci Rabbits
12. GRPH  Overlap Graphs
13. IEV	  Calculating Expected Offspring
14. LCSM  Finding a Shared Motif
15. LIA	  Independent Alleles
16. MPRT  Finding a Protein Motif
17. MRNA  Inferring mRNA from Protein
18. ORF  Open Reading Frames
19. PERM  Enumerating Gene Orders
20. PRTM  Calculating Protein Mass

21. REVP  Locating Restriction Sites
22. SPLC  RNA Splicing
23. LEXF  Enumerating k-mers Lexicographically
24. LGIS  Longest Increasing Subsequence
25. LONG  Genome Assembly as Shortest Superstring
26. PMCH  Perfect Matchings and RNA Secondary Structures
27. PPER  Partial Permutations
28. PROB  Introduction to Random Strings
29. SIGN  Enumerating Oriented Gene Orderings
30. SSEQ  Finding a Spliced Motif

31. TRAN  Transitions and Transversions
32. TREE  Completing a Tree
33. CAT  Catalan Numbers and RNA Secondary Structures
34. CORR  Error Correction in Reads
35. INOD  Counting Phylogenetic Ancestors
36. KMER  k-Mer Composition
37. KMP  Speeding Up Motif Finding
38. LCSQ  Finding a Shared Spliced Motif
39. LEXV  Ordering Strings of Varying Length Lexicographically
40. MMCH  Maximum Matchings and RNA Secondary Structures

41. PDST  Creating a Distance Matrix
42. REAR  Reversal Distance
43. RSTR  Matching Random Motifs
44. SSET  Counting Subsets
45. ASPC  Introduction to Alternative Splicing
46. EDIT  Edit Distance
47. EVAL  Expected Number of Restriction Sites
48. MOTZ  Motzkin Numbers and RNA Secondary Structures
49. NWCK  Distances in Trees
50. SCSP  Interleaving Two Motifs

51. SETO  Introduction to Set Operations
52. SORT  Sorting by Reversals
53. SPEC  Inferring Protein from Spectrum
54. TRIE  Introduction to Pattern Matching
55. CONV  Comparing Spectra with the Spectral Convolution
56. CTBL  Creating a Character Table
57. DBRU  Constructing a De Bruijn Graph
58. EDTA  Edit Distance Alignment
59. FULL  Inferring Peptide from Full Spectrum
60. INDC  Independent Segregation of Chromosomes

61. ITWV  Finding Disjoint Motifs in a Gene
62. LREP  Finding the Longest Multiple Repeat
63. NKEW  Newick Format with Edge Weights
64. RNAS  Wobble Bonding and RNA Secondary Structures
65. AFRQ  Counting Disease Carriers
66. CSTR  Creating a Character Table from Genetic Strings
67. CTEA  Counting Optimal Alignments
68. CUNR  Counting Unrooted Binary Trees
69. GLOB  Global Alignment with Scoring Matrix
70. PCOV  Genome Assembly with Perfect Coverage

71. PRSM  Matching a Spectrum to a Protein
72. QRT  Quartets
73. SGRA  Using the Spectrum Graph to Infer Peptides
74. SUFF  Encoding Suffix Trees
75. CHBP  Character-Based Phylogeny
76. CNTQ  Counting Quartets
77. EUBT  Enumerating Unrooted Binary Trees
78. GASM  Genome Assembly Using Reads
79. GCON  Global Alignment with Constant Gap Penalty
80. LING  Linguistic Complexity of a Genome

81. LOCA  Local Alignment with Scoring Matrix
82. MEND  Inferring Genotype from a Pedigree
83. MGAP  Maximizing the Gap Symbols of an Optimal Alignment
84. MREP  Identifying Maximal Repeats
85. MULT  Multiple Alignment
86. PDPL  Creating a Restriction Map
87. ROOT  Counting Rooted Binary Trees
88. SEXL  Sex-Linked Inheritance
89. SPTD  Phylogeny Comparison with Split Distance
90. WFMD  The Wright-Fisher Model of Genetic Drift

91. ALPH  Alignment-Based Phylogeny
92. ASMQ  Assessing Assembly Quality with N50 and N75
93. CSET  Fixing an Inconsistent Character Set
94. EBIN  Wright-Fisher's Expected Behavior
95. FOUN  The Founder Effect and Genetic Drift
96. GAFF  Global Alignment with Scoring Matrix and Affine Gap Penalty
97. GREP  Genome Assembly with Perfect Coverage and Repeats
98. OAP  Overlap Alignment
99. QRTD  Quartet Distance
100. SIMS  Finding a Motif with Modifications

101. SMGB  Semiglobal Alignment
102. KSIM  Finding All Similar Motifs
103. LAFF  Local Alignment with Affine Gap Penalty
104. OSYM  Isolating Symbols in Alignments
105. RSUB  Identifying Reversing Substitutions
